artist,song,lyrics,input_text
Kendrick Lamar,HiiiPoWeR,Everybody put three fingers in the air The sky is falling the wind is calling Stand for something or die in the morning Section.80  HiiiPoWeR  Visions of Martin Luther staring at me  Malcolm X put a hex on my future  someone catch me I'm falling victim to a revolutionary song  the Serengeti's clone back to put you backstabbers back on your spinal bone You slipped your disc when I slid you my disc You wanted to diss  but jumped on my dick Grown men never should bite their tongue Unless you eatin' pussy that smell like it's a stale plum I got my finger on the motherfuckin' pistol Aimin' it at a pig  Charlotte's web is gonna miss you My issue isn't televised and you ain't gotta tell the wise How to stay on beat  because our life's an instrumental This is physical and mental  I won't sugarcoat itYou'd die from diabetes if these other niggas wrote it And everything on TV just a figment of imagination I don't want a plastic nation  dread that like a Haitian While you motherfuckers waiting  I be off the slave ship Building pyramids  writing my own hieroglyphs,HiiiPoWeR Everybody put three fingers in the air The sky is falling the wind is calling Stand for something or die in the morning Section.80  HiiiPoWeR  Visions of Martin Luther staring at me  Malcolm X put a hex on my future  someone catch me I'm falling victim to a revolutionary song  the Serengeti's clone back to put you backstabbers back on your spinal bone You slipped your disc when I slid you my disc You wanted to diss  but jumped on my dick Grown men never should bite their tongue Unless you eatin' pussy that smell like it's a stale plum I got my finger on the motherfuckin' pistol Aimin' it at a pig  Charlotte's web is gonna miss you My issue isn't televised and you ain't gotta tell the wise How to stay on beat  because our life's an instrumental This is physical and mental  I won't sugarcoat itYou'd die from diabetes if these other niggas wrote it And everything on TV just a figment of imagination I don't want a plastic nation  dread that like a Haitian While you motherfuckers waiting  I be off the slave ship Building pyramids  writing my own hieroglyphs
Kendrick Lamar,ADHD, Uh-uh  fuck that  Eight doobies to the face  fuck that Twelve bottles in the case  nigga  fuck that Two pills and a half-weight  nigga  fuck that Got a high tolerance when your age don't exist  Man  I swear my nigga trippin' off that shit againPick him up then I set him in cold waterThen I order someone to bring him Vicodin' Hope that take the pain away From the feelin' that he feel today You know when you part of Section.80 You feel like no one can relate' Cause you are  you are a loner loner Marijuana endorphins make you stronger stronger I'm in the house party trippin' off My generation sippin' cough syrup like it's water Never no pancakes in the kitchen Man not one of our lives is caught up in the daily superstition that the world is 'bout to end Who gives a fuck? We never do listen 'Less it comes with an 808 (A melody and some hoes )PlayStation and some drank (Technology bought my soul) Lookin' around and all I see is a big crowd that's product of me And they probably relatives relevant for a rebel's dream Yep  her president is Black  she Black too Purple Label on her back  but that tab is light blue She take it straight to the head  then she look at me She got ADHD,ADHD  Uh-uh  fuck that  Eight doobies to the face  fuck that Twelve bottles in the case  nigga  fuck that Two pills and a half-weight  nigga  fuck that Got a high tolerance when your age don't exist  Man  I swear my nigga trippin' off that shit againPick him up then I set him in cold waterThen I order someone to bring him Vicodin' Hope that take the pain away From the feelin' that he feel today You know when you part of Section.80 You feel like no one can relate' Cause you are  you are a loner loner Marijuana endorphins make you stronger stronger I'm in the house party trippin' off My generation sippin' cough syrup like it's water Never no pancakes in the kitchen Man not one of our lives is caught up in the daily superstition that the world is 'bout to end Who gives a fuck? We never do listen 'Less it comes with an 808 (A melody and some hoes )PlayStation and some drank (Technology bought my soul) Lookin' around and all I see is a big crowd that's product of me And they probably relatives relevant for a rebel's dream Yep  her president is Black  she Black too Purple Label on her back  but that tab is light blue She take it straight to the head  then she look at me She got ADHD
Kendrick Lamar,m.A.A.d city (Solo Part),"If Pirus and Crips all got along They'd probably gun me down by the end of this song Seem like the whole city go against me Every time I'm in the street  I hear ya ”Yawk! Yawk! Yawk! Yawk!  Man, down  where you from  nigga? Fuck who you know where you from my nigga? Where your grandma stay huh my nigga? This m.A.A.d city I run my nigga  Brace yourself  I'll take you on a trip down memory laneThis is not a rap on how I'm slingin' crack or move cocaine This is cul-de-sac and plenty Cognac and major pain Not the drill sergeant but the stress that weighin' on your brain It was me L Boog and Yan Yan  YG Lucky ride down RosecransIt got ugly wavin' yo' hand out the window check yourself Uh  Warriors and Conans hope euphoria can slow dance With society the driver seat the first one to get killed Seen a light-skinned nigga with his brains blown out At the same burger stand where **** hang out now this is not a tape recorder sayin' that he did it But ever since that day  I was lookin' at him different that was back when I was nine  Joey packed the nine Pakistan on every porch is fine we adapt to crimePack a van with four guns at a time with the sliding door  fuck is up? Fuck you shootin' for if you ain't walkin' up you fuckin' punk? Pickin' up the fuckin' pump  pickin' off you suckersSuck a dick or die or sucker punch A wall of bullets comin' from AK's  AR's  Ayy  y'allduckThat's what mama said when we was eatin' that free lunchAw man  goddamn  all hell broke loose you killed my cousin back in '94  fuck yo' truceNow crawl your head in that nooseYou wind up dead on the news Ain't no peace treaty  just piecin' BGs up to approveBodies on top of bodies  IVs on top of IVs Obviously the coroner between the sheets like the Isleys When you hop on that trolley  make sure your color's correct Make sure you're corporate  or they'll be callin' your mother collect They say the governor collect all of our taxes  except When we in traffic and tragic happens  that shit ain't no threat You movin' backwards if you suggest that you sleep with a TECGo buy a chopper and have a doctor on speed dial I guess, m.A.A.d. city","m.A.A.d city (Solo Part) If Pirus and Crips all got along They'd probably gun me down by the end of this song Seem like the whole city go against me Every time I'm in the street  I hear ya ”Yawk! Yawk! Yawk! Yawk!  Man, down  where you from  nigga? Fuck who you know where you from my nigga? Where your grandma stay huh my nigga? This m.A.A.d city I run my nigga  Brace yourself  I'll take you on a trip down memory laneThis is not a rap on how I'm slingin' crack or move cocaine This is cul-de-sac and plenty Cognac and major pain Not the drill sergeant but the stress that weighin' on your brain It was me L Boog and Yan Yan  YG Lucky ride down RosecransIt got ugly wavin' yo' hand out the window check yourself Uh  Warriors and Conans hope euphoria can slow dance With society the driver seat the first one to get killed Seen a light-skinned nigga with his brains blown out At the same burger stand where **** hang out now this is not a tape recorder sayin' that he did it But ever since that day  I was lookin' at him different that was back when I was nine  Joey packed the nine Pakistan on every porch is fine we adapt to crimePack a van with four guns at a time with the sliding door  fuck is up? Fuck you shootin' for if you ain't walkin' up you fuckin' punk? Pickin' up the fuckin' pump  pickin' off you suckersSuck a dick or die or sucker punch A wall of bullets comin' from AK's  AR's  Ayy  y'allduckThat's what mama said when we was eatin' that free lunchAw man  goddamn  all hell broke loose you killed my cousin back in '94  fuck yo' truceNow crawl your head in that nooseYou wind up dead on the news Ain't no peace treaty  just piecin' BGs up to approveBodies on top of bodies  IVs on top of IVs Obviously the coroner between the sheets like the Isleys When you hop on that trolley  make sure your color's correct Make sure you're corporate  or they'll be callin' your mother collect They say the governor collect all of our taxes  except When we in traffic and tragic happens  that shit ain't no threat You movin' backwards if you suggest that you sleep with a TECGo buy a chopper and have a doctor on speed dial I guess, m.A.A.d. city"
Kendrick Lamar,Alright,"Alls my life I has to fight  nigga
Alls my life I
Hard times like  yah!
Bad trips like  yah!
Nazareth  I'm fucked up
Homie  you fucked up
But if God got us then we gon' be alright
Nigga  we gon' be alright
Nigga  we gon' be alright
We gon' be alright
Do you hear me  do you feel me? We gon' be alright
Nigga  we gon' be alright
Huh? We gon' be alright
Nigga  we gon' be alright
Do you hear me  do you feel me? We gon' be alright
Uh  and when I wake up
I recognize you're lookin' at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down
Schemin'! And let me tell you bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my mama I love her but this what I like
Lord knows  twenty of 'em in my Chevy
Tell 'em all to come and get me  reapin' everything I sow
So my karma come in heaven  no preliminary hearings on my record
I'm a motherfucking gangster in silence for the record  uh
Tell the world I know it's too late
Boys and girls  I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say
Wouldn't you know
We been hurt  been down before  nigga
When our pride was low
Lookin' at the world like  Where do we go  nigga?
And we hate po-po
Wanna kill us dead in the street for sure  nigga
I'm at the preacher's door
My knees gettin' weak and my gun might blow
But we gon' be alright
Nigga  we gon' be alright
Nigga  we gon' be alright
We gon' be alright
Do you hear me  do you feel me? We gon' be alright
Nigga  we gon' be alright
Huh? We gon' be alright
Nigga  we gon' be alright
Do you hear me  do you feel me? We gon' be alright
What you want you  a house? You  a car?
40 acres and a mule? A piano  a guitar?
Anything  see my name is Lucy  I'm your dog
Motherfucker  you can live at the mall
I can see the evil  I can tell it I know when it's illegal
I don't think about it  I deposit every other zero
Thinkin' of my partner put the candy  paint it on the regal
Diggin' in my pocket ain't a profit  big enough to feed you
Everyday my logic  get another dollar just to keep you
In the presence of your chico ah!
I don't talk about it  be about it  everyday I see cool
If I got it then you know you got it  Heaven  I can reach you
Pat Dawg  Pat Dawg  Pat Dawg  my dog  that's all
Bick back and Chad  I trap the bag for y'all
I rap  I black on track so rest assured
My rights  my wrongs  I write 'til I'm right with God
Wouldn't you know
We been hurt  been down before  nigga
When our pride was low
Lookin' at the world like  Where do we go  nigga?
And we hate po-po
Wanna kill us dead in the street for sure  nigga
I'm at the preacher's door
My knees gettin' weak and my gun might blow
But we gon' be alright
Nigga  we gon' be alright
Nigga  we gon' be alright
We gon' be alright
Do you hear me  do you feel me? We gon' be alright
Nigga  we gon' be alright
Huh? We gon' be alright
Nigga  we gon' be alright
Do you hear me  do you feel me? We gon' be alright
I keep my head up high
I cross my heart and hope to die
Lovin' me is complicated
Too afraid of a lot of changes
I'm alright and you're a favorite
Dark nights in my prayers
I remembered you was conflicted
Misusing your influence  sometimes I did the same
Abusing my power full of resentment
Resentment that turned into a deep depression
Found myself screamin' in the hotel room
I didn't wanna self destruct  the evils of Lucy was all around me
So I went runnin' for answers","Alright Alls my life I has to fight  nigga
Alls my life I
Hard times like  yah!
Bad trips like  yah!
Nazareth  I'm fucked up
Homie  you fucked up
But if God got us then we gon' be alright
Nigga  we gon' be alright
Nigga  we gon' be alright
We gon' be alright
Do you hear me  do you feel me? We gon' be alright
Nigga  we gon' be alright
Huh? We gon' be alright
Nigga  we gon' be alright
Do you hear me  do you feel me? We gon' be alright
Uh  and when I wake up
I recognize you're lookin' at me for the pay cut
But homicide be looking at you from the face down
What MAC-11 even boom with the bass down
Schemin'! And let me tell you bout my life
Painkillers only put me in the twilight
Where pretty pussy and Benjamin is the highlight
Now tell my mama I love her but this what I like
Lord knows  twenty of 'em in my Chevy
Tell 'em all to come and get me  reapin' everything I sow
So my karma come in heaven  no preliminary hearings on my record
I'm a motherfucking gangster in silence for the record  uh
Tell the world I know it's too late
Boys and girls  I think I've gone cray
Drown inside my vices all day
Won't you please believe when I say
Wouldn't you know
We been hurt  been down before  nigga
When our pride was low
Lookin' at the world like  Where do we go  nigga?
And we hate po-po
Wanna kill us dead in the street for sure  nigga
I'm at the preacher's door
My knees gettin' weak and my gun might blow
But we gon' be alright
Nigga  we gon' be alright
Nigga  we gon' be alright
We gon' be alright
Do you hear me  do you feel me? We gon' be alright
Nigga  we gon' be alright
Huh? We gon' be alright
Nigga  we gon' be alright
Do you hear me  do you feel me? We gon' be alright
What you want you  a house? You  a car?
40 acres and a mule? A piano  a guitar?
Anything  see my name is Lucy  I'm your dog
Motherfucker  you can live at the mall
I can see the evil  I can tell it I know when it's illegal
I don't think about it  I deposit every other zero
Thinkin' of my partner put the candy  paint it on the regal
Diggin' in my pocket ain't a profit  big enough to feed you
Everyday my logic  get another dollar just to keep you
In the presence of your chico ah!
I don't talk about it  be about it  everyday I see cool
If I got it then you know you got it  Heaven  I can reach you
Pat Dawg  Pat Dawg  Pat Dawg  my dog  that's all
Bick back and Chad  I trap the bag for y'all
I rap  I black on track so rest assured
My rights  my wrongs  I write 'til I'm right with God
Wouldn't you know
We been hurt  been down before  nigga
When our pride was low
Lookin' at the world like  Where do we go  nigga?
And we hate po-po
Wanna kill us dead in the street for sure  nigga
I'm at the preacher's door
My knees gettin' weak and my gun might blow
But we gon' be alright
Nigga  we gon' be alright
Nigga  we gon' be alright
We gon' be alright
Do you hear me  do you feel me? We gon' be alright
Nigga  we gon' be alright
Huh? We gon' be alright
Nigga  we gon' be alright
Do you hear me  do you feel me? We gon' be alright
I keep my head up high
I cross my heart and hope to die
Lovin' me is complicated
Too afraid of a lot of changes
I'm alright and you're a favorite
Dark nights in my prayers
I remembered you was conflicted
Misusing your influence  sometimes I did the same
Abusing my power full of resentment
Resentment that turned into a deep depression
Found myself screamin' in the hotel room
I didn't wanna self destruct  the evils of Lucy was all around me
So I went runnin' for answers"
Kendrick Lamar,The Art of Peer Pressure,Everybody  everybody  everybodyEverybody sit yo bitch-ass downAnd listen to this true mothafuckin' storyTold by on Rosecrans  ya bitch Smokin' on the finest dope  ayy-ayy-ayy-ahDrank until I can't no mo'  ayy-ayy-ayy-ahReally I'm a sober soulBut I'm with the homies right nowAnd we ain't askin' for no favorsRush a nigga quick  then laugh about it later  ayy-ayy-ayy-ahReally  I'm a peacemakerBut I'm with the homies right nowAnd Momma used to say (Say  say  say  say)One day it's gon' burn you out (Woo)One day it's gon' burn you out  out  outOne day it's gon' burn you out (You  you  you  you  you  you)One day it's gon' burn youBut I'm with the homies right now I ,The Art of Peer Pressure Everybody  everybody  everybodyEverybody sit yo bitch-ass downAnd listen to this true mothafuckin' storyTold by on Rosecrans  ya bitch Smokin' on the finest dope  ayy-ayy-ayy-ahDrank until I can't no mo'  ayy-ayy-ayy-ahReally I'm a sober soulBut I'm with the homies right nowAnd we ain't askin' for no favorsRush a nigga quick  then laugh about it later  ayy-ayy-ayy-ahReally  I'm a peacemakerBut I'm with the homies right nowAnd Momma used to say (Say  say  say  say)One day it's gon' burn you out (Woo)One day it's gon' burn you out  out  outOne day it's gon' burn you out (You  you  you  you  you  you)One day it's gon' burn youBut I'm with the homies right now I 
Kendrick Lamar,Sing About Me  I'm Dying of Thirst, Sing About Me When the lights shut off and it's my turnTo settle down  my main concernPromise that you will sing about mePromise that you will sing about meI said when the lights shut off and it's my turnTo settle down  my main concernPromise that you will sing about mePromise that you will sing about me I woke up this morning and figured I'd call youIn case I'm not here tomorrowI'm hopin' that I can borrowA peace of mind  I'm behind on what's really importantMy mind is really distortedI find nothing but trouble in my lifeI'm fortunate you believe in a dreamThis orphanage we call a ghetto is quite a routineAnd last night was just another distractionOr a reaction of what we consider madnessI know exactly what happenedYou ran outside when you heard my brother cry for helpHeld him like a newborn baby and made him feelLike everything was alright in a fight he tried to put upBut the type of bullet that stuckHad went against his will  that's blood spilled on your handsMy plan's rather vindictiveEverybody's a victim in my eyesWhen I ride it's a murderous rhythmAnd outside became pitch blackA demon glued to my back  whispering Get 'em!I got 'em and I ain't give a fuckThat same mentality I told my brother not to duckIn actuality it's a trip how we trip off of colorsI wonder if I'll ever discover a passion like you and recoverThe life that I knew as a younginIn pajamas and dun-ta-dunsWhen thunder comes it rains cats and dogs dumbNiggas like me never prosperPrognosis of a problem child  I'm proud and well-devotedThis Piru shit been in me foreverSo forever I'ma push it  wherever  wheneverAnd I love you 'cause you love my brother like you didJust promise me you'll tell this story when you make it bigAnd if I die before your album drop  I hope Gunshots ,Sing About Me  I'm Dying of Thirst  Sing About Me When the lights shut off and it's my turnTo settle down  my main concernPromise that you will sing about mePromise that you will sing about meI said when the lights shut off and it's my turnTo settle down  my main concernPromise that you will sing about mePromise that you will sing about me I woke up this morning and figured I'd call youIn case I'm not here tomorrowI'm hopin' that I can borrowA peace of mind  I'm behind on what's really importantMy mind is really distortedI find nothing but trouble in my lifeI'm fortunate you believe in a dreamThis orphanage we call a ghetto is quite a routineAnd last night was just another distractionOr a reaction of what we consider madnessI know exactly what happenedYou ran outside when you heard my brother cry for helpHeld him like a newborn baby and made him feelLike everything was alright in a fight he tried to put upBut the type of bullet that stuckHad went against his will  that's blood spilled on your handsMy plan's rather vindictiveEverybody's a victim in my eyesWhen I ride it's a murderous rhythmAnd outside became pitch blackA demon glued to my back  whispering Get 'em!I got 'em and I ain't give a fuckThat same mentality I told my brother not to duckIn actuality it's a trip how we trip off of colorsI wonder if I'll ever discover a passion like you and recoverThe life that I knew as a younginIn pajamas and dun-ta-dunsWhen thunder comes it rains cats and dogs dumbNiggas like me never prosperPrognosis of a problem child  I'm proud and well-devotedThis Piru shit been in me foreverSo forever I'ma push it  wherever  wheneverAnd I love you 'cause you love my brother like you didJust promise me you'll tell this story when you make it bigAnd if I die before your album drop  I hope Gunshots 
Kendrick Lamar,i, & Ronald Isley Is this mic on? (Hey  move this way  this way)Hey  hey  hey  turn the mic up  c'mon  c'monIs the mic on or not? I want the micWe're bringing up nobody  nobodyNobody but the number one rapper in the worldHe done traveled all over the worldHe came back just to give you some gameAll of the little boys and girls  come up here(Ah  one two  one two  what's happening  fool?)Come right here  this is for you  come on upI done been through a whole lot ()Trial  tribulation  but I know GodThe Devil wanna put me in a bow tie (Make some noise  brother)Pray that the holy water don't go dry  yeah  yeahAs I look around meSo many motherfuckers wanna down meBut enemigo never drown meIn front of a dirty double-mirror they found me  And I love my (I love myself)Huh  when you lookin' at me  ah  tell me what do you see?(I love myself)Ahh  I put a bullet in the back of the back of the head of the poli'(I love myself)Uh  illuminated by the hand of God  boy  don't seem shy(I love myself)One day at a time  huh,i  & Ronald Isley Is this mic on? (Hey  move this way  this way)Hey  hey  hey  turn the mic up  c'mon  c'monIs the mic on or not? I want the micWe're bringing up nobody  nobodyNobody but the number one rapper in the worldHe done traveled all over the worldHe came back just to give you some gameAll of the little boys and girls  come up here(Ah  one two  one two  what's happening  fool?)Come right here  this is for you  come on upI done been through a whole lot ()Trial  tribulation  but I know GodThe Devil wanna put me in a bow tie (Make some noise  brother)Pray that the holy water don't go dry  yeah  yeahAs I look around meSo many motherfuckers wanna down meBut enemigo never drown meIn front of a dirty double-mirror they found me  And I love my (I love myself)Huh  when you lookin' at me  ah  tell me what do you see?(I love myself)Ahh  I put a bullet in the back of the back of the head of the poli'(I love myself)Uh  illuminated by the hand of God  boy  don't seem shy(I love myself)One day at a time  huh
Kendrick Lamar,DNA.,I got  I got  I got  I gotLoyalty  got royalty inside my DNACocaine quarter piece  got war and peace inside my DNAI got power  poison  pain  and joy inside my DNAI got hustle  though  ambition flow inside my DNAI was born like this  since one like this  immaculate conceptionI transform like this  perform like this  was Yeshua new weaponI don't contemplate  I meditate  then off your fucking headThis that put-the-kids-to-bedThis that I got  I got  I got  I gotRealness  I just kill shit 'cause it's in my DNAI got millions  I got riches buildin' in my DNAI got dark  I got evil that rot inside my DNAI got off  I got troublesome heart inside my DNAI just win again  then win again like Wimbledon  I serveYeah  that's him again  the sound that engine in is like a birdYou see fireworks and Corvette tire skrrt the boulevardI know how you work  I know just who you areSee  you's a  you's a  you's aBitch  your hormones prolly switch inside your DNAProblem is  all that sucker shit inside your DNADaddy prolly snitched  heritage inside your DNABackbone don't exist  born outside a jellyfish  I gaugeSee  my pedigree most definitely don't tolerate the frontShit I've been through prolly offend you  this is Paula's oldest sonI know murder  convictionBurners  boosters  burglars  ballers  dead  redemptionScholars  fathers dead with kids andI wish I was fed forgivenessYeah  yeah  yeah  yeah  soldier's DNA (I'm a soldier's DNA)Born inside the beast  my expertise checked out in second gradeWhen I was nine  on cell  motel  we didn't have nowhere to stayAt twenty-nine  I've done so well  hit cartwheel in my estateAnd I'm gon' shine like I'm supposed to  antisocial extrovertAnd excellent mean the extra workAnd absentness what the fuck you heardAnd pessimists never struck my nerveAnd Nazareth gonna plead his caseThe reason my power's here on earthSalute the truth  when the prophet say,DNA. I got  I got  I got  I gotLoyalty  got royalty inside my DNACocaine quarter piece  got war and peace inside my DNAI got power  poison  pain  and joy inside my DNAI got hustle  though  ambition flow inside my DNAI was born like this  since one like this  immaculate conceptionI transform like this  perform like this  was Yeshua new weaponI don't contemplate  I meditate  then off your fucking headThis that put-the-kids-to-bedThis that I got  I got  I got  I gotRealness  I just kill shit 'cause it's in my DNAI got millions  I got riches buildin' in my DNAI got dark  I got evil that rot inside my DNAI got off  I got troublesome heart inside my DNAI just win again  then win again like Wimbledon  I serveYeah  that's him again  the sound that engine in is like a birdYou see fireworks and Corvette tire skrrt the boulevardI know how you work  I know just who you areSee  you's a  you's a  you's aBitch  your hormones prolly switch inside your DNAProblem is  all that sucker shit inside your DNADaddy prolly snitched  heritage inside your DNABackbone don't exist  born outside a jellyfish  I gaugeSee  my pedigree most definitely don't tolerate the frontShit I've been through prolly offend you  this is Paula's oldest sonI know murder  convictionBurners  boosters  burglars  ballers  dead  redemptionScholars  fathers dead with kids andI wish I was fed forgivenessYeah  yeah  yeah  yeah  soldier's DNA (I'm a soldier's DNA)Born inside the beast  my expertise checked out in second gradeWhen I was nine  on cell  motel  we didn't have nowhere to stayAt twenty-nine  I've done so well  hit cartwheel in my estateAnd I'm gon' shine like I'm supposed to  antisocial extrovertAnd excellent mean the extra workAnd absentness what the fuck you heardAnd pessimists never struck my nerveAnd Nazareth gonna plead his caseThe reason my power's here on earthSalute the truth  when the prophet say
Kendrick Lamar,HUMBLE.,Nobody pray for meIt been that day for meWay (Yeah  yeah) Ayy  I remember syrup sandwiches and crime allowancesFinesse a nigga with some counterfeits  but now I'm countin' thisParmesan where my accountant lives  in fact  I'm downin' thisD'ussÃ© with my boo bae  tastes like Kool-Aid for the analystsGirl  I can buy your ass the world with my paystubOoh  that pussy good  won't you sit it on my taste bloods?I get way too petty once you let me do the extrasPull up on your block  then break it down  we playin' TetrisA.m. to the p.m.  p.m. to the a.m.  funkPiss out your per diem  you just gotta hate 'em  funkIf I quit your BM  I still ride Mercedes  funkIf I quit this season  I still be the greatest  funkMy le stroke just went viralRight stroke put lil' baby in a spiralSoprano C  we like to keep it on a high noteIt's levels to it  you and I know Bitch  be humble (Hold up  bitch)Sit down (Hold up  lil' hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  sit down  lil' sit down  lil' bitch)Be humble (Hold up  hold up  hold up  hold up  lil' bitch)Bitch  sit down (Hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  hold up  hold up  hold up)Be humble (Hold up  hold up  hold up  hold up  lil')Sit down (Hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  sit down  lil' sit down  lil' bitch)Be humble (Hold up  hold up  hold up  hold up  lil' bitch)Bitch  sit down (Hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  hold up  hold up  hold up),HUMBLE. Nobody pray for meIt been that day for meWay (Yeah  yeah) Ayy  I remember syrup sandwiches and crime allowancesFinesse a nigga with some counterfeits  but now I'm countin' thisParmesan where my accountant lives  in fact  I'm downin' thisD'ussÃ© with my boo bae  tastes like Kool-Aid for the analystsGirl  I can buy your ass the world with my paystubOoh  that pussy good  won't you sit it on my taste bloods?I get way too petty once you let me do the extrasPull up on your block  then break it down  we playin' TetrisA.m. to the p.m.  p.m. to the a.m.  funkPiss out your per diem  you just gotta hate 'em  funkIf I quit your BM  I still ride Mercedes  funkIf I quit this season  I still be the greatest  funkMy le stroke just went viralRight stroke put lil' baby in a spiralSoprano C  we like to keep it on a high noteIt's levels to it  you and I know Bitch  be humble (Hold up  bitch)Sit down (Hold up  lil' hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  sit down  lil' sit down  lil' bitch)Be humble (Hold up  hold up  hold up  hold up  lil' bitch)Bitch  sit down (Hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  hold up  hold up  hold up)Be humble (Hold up  hold up  hold up  hold up  lil')Sit down (Hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  sit down  lil' sit down  lil' bitch)Be humble (Hold up  hold up  hold up  hold up  lil' bitch)Bitch  sit down (Hold up  lil' bitch)Be humble (Hold up  bitch)Sit down (Hold up  hold up  hold up  hold up)
Kendrick Lamar,PRIDE.,Love's gonna get you killed But pride's gonna be the death of you and you and meAnd you and you and you and meAnd you and you and you and meAnd you and you and you and me and Steve Lacy & Me  I wasn't taught to share  but careIn another life  I surely was thereMe  I wasn't taught to share  but careI care  I care  Hell-raising  wheel-chasing  new worldly possessionsFlesh-making  spirit-breaking  which one would you lessen?The better part  the human heart  you love 'em or dissect 'emHappiness or flashiness? How do you serve the question?See  in a perfect world  I would be perfect  worldI don't trust people enough beyond they surface  worldI don't love people enough to put my faith in manI put my faith in these lyrics  hoping I make a bandI understand I ain't perfect  I probably won't come aroundThis time I might put you downLast time I ain't give a fuck  I still feel the same nowMy feelings might go numb  you're dealin' with cold thumbI'm willin' to give up a leg and arm to show empathy fromPity parties and functions of you and yoursA perfect world  you probably live another 24I can't fake humble just 'cause your ass is insecureI can't fake humble just 'cause your ass is insecure,PRIDE. Love's gonna get you killed But pride's gonna be the death of you and you and meAnd you and you and you and meAnd you and you and you and meAnd you and you and you and me and Steve Lacy & Me  I wasn't taught to share  but careIn another life  I surely was thereMe  I wasn't taught to share  but careI care  I care  Hell-raising  wheel-chasing  new worldly possessionsFlesh-making  spirit-breaking  which one would you lessen?The better part  the human heart  you love 'em or dissect 'emHappiness or flashiness? How do you serve the question?See  in a perfect world  I would be perfect  worldI don't trust people enough beyond they surface  worldI don't love people enough to put my faith in manI put my faith in these lyrics  hoping I make a bandI understand I ain't perfect  I probably won't come aroundThis time I might put you downLast time I ain't give a fuck  I still feel the same nowMy feelings might go numb  you're dealin' with cold thumbI'm willin' to give up a leg and arm to show empathy fromPity parties and functions of you and yoursA perfect world  you probably live another 24I can't fake humble just 'cause your ass is insecureI can't fake humble just 'cause your ass is insecure
